rank,quota,institute,state,course,allottedCategory,candidateCategory,phase
633621,Deemed/Paid Seats Quota,"Aarupadai Veedu Medical College and Hospt., Puducherry",Puducherry,MBBS,Open,EWS,2
755831,Deemed/Paid Seats Quota,"Aarupadai Veedu Medical College and Hospt., Puducherry",Puducherry,MBBS,Open,General,3
755369,Deemed/Paid Seats Quota,"Aarupadai Veedu Medical College and Hospt., Puducherry",Puducherry,MBBS,Open,OBC,3
728180,Deemed/Paid Seats Quota,"Aarupadai Veedu Medical College and Hospt., Puducherry",Puducherry,MBBS,Open,SC,3
509096,Deemed/Paid Seats Quota,"Aarupadai Veedu Medical College and Hospt., Puducherry",Puducherry,MBBS,Open,ST,1
465798,Deemed/Paid Seats Quota,"AB Shetty Memorial Inst. of Dental Sce., Mangaluru",Karnataka,BDS,Open,EWS,2
500262,Deemed/Paid Seats Quota,"AB Shetty Memorial Inst. of Dental Sce., Mangaluru",Karnataka,BDS,Open,General,2
492426,Deemed/Paid Seats Quota,"AB Shetty Memorial Inst. of Dental Sce., Mangaluru",Karnataka,BDS,Open,OBC,2
480312,Deemed/Paid Seats Quota,"AB Shetty Memorial Inst. of Dental Sce., Mangaluru",Karnataka,BDS,Open,SC,1
502737,Deemed/Paid Seats Quota,"AB Shetty Memorial Inst. of Dental Sce., Mangaluru",Karnataka,BDS,Open,ST,2
711985,Non-Resident Indian,"AB Shetty Memorial Inst. of Dental Sce., Mangaluru",Karnataka,BDS,Open,General,1
666150,Deemed/Paid Seats Quota,"ACS Medical College and Hospital, Chennai",Tamil Nadu,MBBS,Open,EWS,3
736125,Deemed/Paid Seats Quota,"ACS Medical College and Hospital, Chennai",Tamil Nadu,MBBS,Open,General,3
734672,Deemed/Paid Seats Quota,"ACS Medical College and Hospital, Chennai",Tamil Nadu,MBBS,Open,OBC,3
726374,Deemed/Paid Seats Quota,"ACS Medical College and Hospital, Chennai",Tamil Nadu,MBBS,Open,SC,3
582374,Deemed/Paid Seats Quota,"ACS Medical College and Hospital, Chennai",Tamil Nadu,MBBS,Open,ST,1
1044991,Non-Resident Indian,"ACS Medical College and Hospital, Chennai",Tamil Nadu,MBBS,Open,General,3
1240389,Non-Resident Indian,"ACS Medical College and Hospital, Chennai",Tamil Nadu,MBBS,Open,OBC,3
1276065,Non-Resident Indian,"ACS Medical College and Hospital, Chennai",Tamil Nadu,MBBS,Open,SC,3
26790,All India,"ACSR Govt Medical College, Nellore",Andhra Pradesh,MBBS,EWS,EWS,3
19790,All India,"ACSR Govt Medical College, Nellore",Andhra Pradesh,MBBS,Open,General,3
1021236,All India,"ACSR Govt Medical College, Nellore",Andhra Pradesh,MBBS,Open PwD,GNYes,3
21614,All India,"ACSR Govt Medical College, Nellore",Andhra Pradesh,MBBS,OBC,OBC,3
1040503,All India,"ACSR Govt Medical College, Nellore",Andhra Pradesh,MBBS,OBC PwD,OBC PwD,2
114295,All India,"ACSR Govt Medical College, Nellore",Andhra Pradesh,MBBS,SC,SC,3
150681,All India,"ACSR Govt Medical College, Nellore",Andhra Pradesh,MBBS,ST,ST,3
34658,All India,AGARTALA GOVT. DENTAL COLLEGE,Tripura,BDS,Open,EWS,3
34205,All India,AGARTALA GOVT. DENTAL COLLEGE,Tripura,BDS,Open,General,3
37703,All India,AGARTALA GOVT. DENTAL COLLEGE,Tripura,BDS,OBC,OBC,3
170405,All India,AGARTALA GOVT. DENTAL COLLEGE,Tripura,BDS,SC,SC,3
27007,All India,"AGARTALA GOVT. MEDICAL COLLEGE, AGARTALA",Tripura,MBBS,EWS,EWS,3
1209143,All India,"AGARTALA GOVT. MEDICAL COLLEGE, AGARTALA",Tripura,MBBS,EWS PwD,EWS PwD,1
25191,All India,"AGARTALA GOVT. MEDICAL COLLEGE, AGARTALA",Tripura,MBBS,Open,General,3
485022,All India,"AGARTALA GOVT. MEDICAL COLLEGE, AGARTALA",Tripura,MBBS,Open PwD,General PwD,1
25825,All India,"AGARTALA GOVT. MEDICAL COLLEGE, AGARTALA",Tripura,MBBS,OBC,OBC,3
529174,All India,"AGARTALA GOVT. MEDICAL COLLEGE, AGARTALA",Tripura,MBBS,OBC PwD,OBC PwD,1
136300,All India,"AGARTALA GOVT. MEDICAL COLLEGE, AGARTALA",Tripura,MBBS,SC,SC,3
161029,All India,"AGARTALA GOVT. MEDICAL COLLEGE, AGARTALA",Tripura,MBBS,ST,ST,3
3066,Open Seat Quota,AIIMS Bathinda,Punjab,MBBS,EWS,EWS,2
1798,Open Seat Quota,AIIMS Bathinda,Punjab,MBBS,Open,General,2
141934,Open Seat Quota,AIIMS Bathinda,Punjab,MBBS,Open PwD,General PwD,1
2482,Open Seat Quota,AIIMS Bathinda,Punjab,MBBS,OBC,OBC,3
268965,Open Seat Quota,AIIMS Bathinda,Punjab,MBBS,OBC PwD,OBC PwD,1
19371,Open Seat Quota,AIIMS Bathinda,Punjab,MBBS,SC,SC,2
536109,Open Seat Quota,AIIMS Bathinda,Punjab,MBBS,SC PwD,SC PwD,1
42487,Open Seat Quota,AIIMS Bathinda,Punjab,MBBS,ST,ST,2
1582,Open Seat Quota,AIIMS Bhopal,Madhya Pradesh,MBBS,EWS,EWS,1
119885,Open Seat Quota,AIIMS Bhopal,Madhya Pradesh,MBBS,EWS PwD,EWS PwD,1
634,Open Seat Quota,AIIMS Bhopal,Madhya Pradesh,MBBS,Open,General,2
116405,Open Seat Quota,AIIMS Bhopal,Madhya Pradesh,MBBS,Open PwD,General PwD,1
1142,Open Seat Quota,AIIMS Bhopal,Madhya Pradesh,MBBS,OBC,OBC,1
116547,Open Seat Quota,AIIMS Bhopal,Madhya Pradesh,MBBS,OBC PwD,OBC PwD,1
7030,Open Seat Quota,AIIMS Bhopal,Madhya Pradesh,MBBS,SC,SC,1
261657,Open Seat Quota,AIIMS Bhopal,Madhya Pradesh,MBBS,SC PwD,SC PwD,1
11713,Open Seat Quota,AIIMS Bhopal,Madhya Pradesh,MBBS,ST,ST,1
636315,Open Seat Quota,AIIMS Bhopal,Madhya Pradesh,MBBS,ST PwD,ST PwD,1
2259,Open Seat Quota,AIIMS Bhubaneswar,Odisha,MBBS,EWS,EWS,1
271852,Open Seat Quota,AIIMS Bhubaneswar,Odisha,MBBS,EWS PwD,EWS PwD,1
785,Open Seat Quota,AIIMS Bhubaneswar,Odisha,MBBS,Open,General,3
22426,Open Seat Quota,AIIMS Bhubaneswar,Odisha,MBBS,Open PwD,General PwD,1
1481,Open Seat Quota,AIIMS Bhubaneswar,Odisha,MBBS,OBC,OBC,1
241313,Open Seat Quota,AIIMS Bhubaneswar,Odisha,MBBS,OBC PwD,OBC PwD,1
6034,Open Seat Quota,AIIMS Bhubaneswar,Odisha,MBBS,SC,SC,1
207160,Open Seat Quota,AIIMS Bhubaneswar,Odisha,MBBS,SC PwD,SC PwD,1
23884,Open Seat Quota,AIIMS Bhubaneswar,Odisha,MBBS,ST,ST,3
781610,Open Seat Quota,AIIMS Bhubaneswar,Odisha,MBBS,ST PwD,ST PwD,1
4225,Open Seat Quota,"AIIMS Bibi Nagar, Hyderabad",Telangana,MBBS,EWS,EWS,2
273253,Open Seat Quota,"AIIMS Bibi Nagar, Hyderabad",Telangana,MBBS,EWS PwD,EWS PwD,1
1874,Open Seat Quota,"AIIMS Bibi Nagar, Hyderabad",Telangana,MBBS,Open,General,3
221694,Open Seat Quota,"AIIMS Bibi Nagar, Hyderabad",Telangana,MBBS,Open PwD,General PwD,1
3464,Open Seat Quota,"AIIMS Bibi Nagar, Hyderabad",Telangana,MBBS,OBC,OBC,3
258759,Open Seat Quota,"AIIMS Bibi Nagar, Hyderabad",Telangana,MBBS,OBC PwD,OBC PwD,1
17480,Open Seat Quota,"AIIMS Bibi Nagar, Hyderabad",Telangana,MBBS,SC,SC,2
225964,Open Seat Quota,"AIIMS Bibi Nagar, Hyderabad",Telangana,MBBS,SC PwD,SC PwD,1
45033,Open Seat Quota,"AIIMS Bibi Nagar, Hyderabad",Telangana,MBBS,ST,ST,2
3957,Open Seat Quota,AIIMS Bilaspur,Himachal Pradesh,MBBS,EWS,EWS,3
241346,Open Seat Quota,AIIMS Bilaspur,Himachal Pradesh,MBBS,Open PwD,EWS PwD,1
2788,Open Seat Quota,AIIMS Bilaspur,Himachal Pradesh,MBBS,Open,General,3
177505,Open Seat Quota,AIIMS Bilaspur,Himachal Pradesh,MBBS,Open PwD,General PwD,1
3549,Open Seat Quota,AIIMS Bilaspur,Himachal Pradesh,MBBS,OBC,OBC,3
330044,Open Seat Quota,AIIMS Bilaspur,Himachal Pradesh,MBBS,OBC PwD,OBC PwD,1
30304,Open Seat Quota,AIIMS Bilaspur,Himachal Pradesh,MBBS,SC,SC,3
486740,Open Seat Quota,AIIMS Bilaspur,Himachal Pradesh,MBBS,SC PwD,SC PwD,1
41195,Open Seat Quota,AIIMS Bilaspur,Himachal Pradesh,MBBS,ST,ST,2
5523,Open Seat Quota,AIIMS Deogarh,Jharkhand,MBBS,EWS,EWS,3
4159,Open Seat Quota,AIIMS Deogarh,Jharkhand,MBBS,Open,General,3
305719,Open Seat Quota,AIIMS Deogarh,Jharkhand,MBBS,Open PwD,General PwD,1
4753,Open Seat Quota,AIIMS Deogarh,Jharkhand,MBBS,OBC,OBC,3
376997,Open Seat Quota,AIIMS Deogarh,Jharkhand,MBBS,OBC PwD,OBC PwD,1
36880,Open Seat Quota,AIIMS Deogarh,Jharkhand,MBBS,SC,SC,3
610082,Open Seat Quota,AIIMS Deogarh,Jharkhand,MBBS,SC PwD,SC PwD,2
61580,Open Seat Quota,AIIMS Deogarh,Jharkhand,MBBS,ST,ST,3
296155,Open Seat Quota,AIIMS Deogarh,Jharkhand,MBBS,Open PwD,ST PwD,2
3355,Open Seat Quota,AIIMS Gorakhpur,Uttar Pradesh,MBBS,EWS,EWS,2
501271,Open Seat Quota,AIIMS Gorakhpur,Uttar Pradesh,MBBS,EWS PwD,EWS PwD,2
2602,Open Seat Quota,AIIMS Gorakhpur,Uttar Pradesh,MBBS,Open,General,3
294578,Open Seat Quota,AIIMS Gorakhpur,Uttar Pradesh,MBBS,Open PwD,General PwD,1
3595,Open Seat Quota,AIIMS Gorakhpur,Uttar Pradesh,MBBS,OBC,OBC,3
425712,Open Seat Quota,AIIMS Gorakhpur,Uttar Pradesh,MBBS,OBC PwD,OBC PwD,3
31853,Open Seat Quota,AIIMS Gorakhpur,Uttar Pradesh,MBBS,SC,SC,3
596639,Open Seat Quota,AIIMS Gorakhpur,Uttar Pradesh,MBBS,SC PwD,SC PwD,1
46911,Open Seat Quota,AIIMS Gorakhpur,Uttar Pradesh,MBBS,ST,ST,2
5873,Open Seat Quota,AIIMS Guwahati,Assam,MBBS,EWS,EWS,3
4420,Open Seat Quota,AIIMS Guwahati,Assam,MBBS,Open,General,3
278550,Open Seat Quota,AIIMS Guwahati,Assam,MBBS,Open PwD,General PwD,1
5382,Open Seat Quota,AIIMS Guwahati,Assam,MBBS,OBC,OBC,3
340348,Open Seat Quota,AIIMS Guwahati,Assam,MBBS,OBC PwD,OBC PwD,1
32675,Open Seat Quota,AIIMS Guwahati,Assam,MBBS,SC,SC,2
730492,Open Seat Quota,AIIMS Guwahati,Assam,MBBS,SC PwD,SC PwD,1
65016,Open Seat Quota,AIIMS Guwahati,Assam,MBBS,ST,ST,3
5308,Open Seat Quota,AIIMS Jammu,Jammu And Kashmir,MBBS,EWS,EWS,3
440047,Open Seat Quota,AIIMS Jammu,Jammu And Kashmir,MBBS,EWS PwD,EWS PwD,1
3993,Open Seat Quota,AIIMS Jammu,Jammu And Kashmir,MBBS,Open,General,3
168231,Open Seat Quota,AIIMS Jammu,Jammu And Kashmir,MBBS,Open PwD,General PwD,1
4335,Open Seat Quota,AIIMS Jammu,Jammu And Kashmir,MBBS,OBC,OBC,3
426229,Open Seat Quota,AIIMS Jammu,Jammu And Kashmir,MBBS,OBC PwD,OBC PwD,2
51471,Open Seat Quota,AIIMS Jammu,Jammu And Kashmir,MBBS,SC,SC,3
518444,Open Seat Quota,AIIMS Jammu,Jammu And Kashmir,MBBS,SC PwD,SC PwD,1
43200,Open Seat Quota,AIIMS Jammu,Jammu And Kashmir,MBBS,ST,ST,1
770273,Open Seat Quota,AIIMS Jammu,Jammu And Kashmir,MBBS,ST PwD,ST PwD,1
1153,Open Seat Quota,AIIMS Jodhpur,Rajasthan,MBBS,EWS,EWS,1
121786,Open Seat Quota,AIIMS Jodhpur,Rajasthan,MBBS,EWS PwD,EWS PwD,1
392,Open Seat Quota,AIIMS Jodhpur,Rajasthan,MBBS,Open,General,1
43428,Open Seat Quota,AIIMS Jodhpur,Rajasthan,MBBS,Open PwD,General PwD,1
766,Open Seat Quota,AIIMS Jodhpur,Rajasthan,MBBS,OBC,OBC,1
489790,Open Seat Quota,AIIMS Jodhpur,Rajasthan,MBBS,OBC PwD,OBC PwD,3
6920,Open Seat Quota,AIIMS Jodhpur,Rajasthan,MBBS,SC,SC,1
234585,Open Seat Quota,AIIMS Jodhpur,Rajasthan,MBBS,SC PwD,SC PwD,1
7835,Open Seat Quota,AIIMS Jodhpur,Rajasthan,MBBS,ST,ST,3
1057596,Open Seat Quota,AIIMS Jodhpur,Rajasthan,MBBS,ST PwD,ST PwD,2
5254,Open Seat Quota,AIIMS Kalyani,West Bengal,MBBS,EWS,EWS,3
503151,Open Seat Quota,AIIMS Kalyani,West Bengal,MBBS,EWS PwD,EWS PwD,1
2417,Open Seat Quota,AIIMS Kalyani,West Bengal,MBBS,Open,General,2
241198,Open Seat Quota,AIIMS Kalyani,West Bengal,MBBS,Open PwD,General PwD,1
4442,Open Seat Quota,AIIMS Kalyani,West Bengal,MBBS,OBC,OBC,3
386570,Open Seat Quota,AIIMS Kalyani,West Bengal,MBBS,OBC PwD,OBC PwD,1
17680,Open Seat Quota,AIIMS Kalyani,West Bengal,MBBS,SC,SC,2
671008,Open Seat Quota,AIIMS Kalyani,West Bengal,MBBS,SC PwD,SC PwD,1
58762,Open Seat Quota,AIIMS Kalyani,West Bengal,MBBS,ST,ST,2
412250,Open Seat Quota,AIIMS Kalyani,West Bengal,MBBS,ST PwD,ST PwD,1
12057,Open Seat Quota,AIIMS Madurai,Tamil Nadu,MBBS,EWS,EWS,3
628140,Open Seat Quota,AIIMS Madurai,Tamil Nadu,MBBS,Open PwD,EWS PwD,3
7143,Open Seat Quota,AIIMS Madurai,Tamil Nadu,MBBS,Open,General,3
190373,Open Seat Quota,AIIMS Madurai,Tamil Nadu,MBBS,Open PwD,General PwD,1
457195,Open Seat Quota,AIIMS Madurai,Tamil Nadu,MBBS,Open PwD,GNYes,2
8617,Open Seat Quota,AIIMS Madurai,Tamil Nadu,MBBS,OBC,OBC,3
709434,Open Seat Quota,AIIMS Madurai,Tamil Nadu,MBBS,OBC PwD,OBC PwD,3
47357,Open Seat Quota,AIIMS Madurai,Tamil Nadu,MBBS,SC,SC,3
70969,Open Seat Quota,AIIMS Madurai,Tamil Nadu,MBBS,ST,ST,3
4369,Open Seat Quota,AIIMS Mangalagiri,Andhra Pradesh,MBBS,EWS,EWS,1
426233,Open Seat Quota,AIIMS Mangalagiri,Andhra Pradesh,MBBS,EWS PwD,EWS PwD,1
1357,Open Seat Quota,AIIMS Mangalagiri,Andhra Pradesh,MBBS,Open,General,1
2575,Open Seat Quota,AIIMS Mangalagiri,Andhra Pradesh,MBBS,OBC,OBC,2
413261,Open Seat Quota,AIIMS Mangalagiri,Andhra Pradesh,MBBS,OBC PwD,OBC PwD,3
15552,Open Seat Quota,AIIMS Mangalagiri,Andhra Pradesh,MBBS,SC,SC,2
630186,Open Seat Quota,AIIMS Mangalagiri,Andhra Pradesh,MBBS,SC PwD,SC PwD,1
31007,Open Seat Quota,AIIMS Mangalagiri,Andhra Pradesh,MBBS,ST,ST,1
2023,Open Seat Quota,AIIMS Nagpur,Maharashtra,MBBS,EWS,EWS,3
339955,Open Seat Quota,AIIMS Nagpur,Maharashtra,MBBS,EWS PwD,EWS PwD,1
1030,Open Seat Quota,AIIMS Nagpur,Maharashtra,MBBS,Open,General,3
15994,Open Seat Quota,AIIMS Nagpur,Maharashtra,MBBS,Open PwD,General PwD,1
22426,Open Seat Quota,AIIMS Nagpur,Maharashtra,MBBS,Open PwD,GNYes,3
1520,Open Seat Quota,AIIMS Nagpur,Maharashtra,MBBS,OBC,OBC,1
168613,Open Seat Quota,AIIMS Nagpur,Maharashtra,MBBS,OBC PwD,OBC PwD,1
8697,Open Seat Quota,AIIMS Nagpur,Maharashtra,MBBS,SC,SC,2
534447,Open Seat Quota,AIIMS Nagpur,Maharashtra,MBBS,SC PwD,SC PwD,2
16192,Open Seat Quota,AIIMS Nagpur,Maharashtra,MBBS,ST,ST,1
9332,Foreign Country Quota,AIIMS New Delhi,Delhi (NCT),MBBS,Open,General,1
254,Open Seat Quota,AIIMS New Delhi,Delhi (NCT),MBBS,EWS,EWS,1
47,Open Seat Quota,AIIMS New Delhi,Delhi (NCT),MBBS,Open,General,1
314055,Open Seat Quota,AIIMS New Delhi,Delhi (NCT),MBBS,Open PwD,GNYes,3
207,Open Seat Quota,AIIMS New Delhi,Delhi (NCT),MBBS,OBC,OBC,2
351802,Open Seat Quota,AIIMS New Delhi,Delhi (NCT),MBBS,OBC PwD,OBC PwD,3
644,Open Seat Quota,AIIMS New Delhi,Delhi (NCT),MBBS,SC,SC,1
1405,Open Seat Quota,AIIMS New Delhi,Delhi (NCT),MBBS,ST,ST,1
785618,Open Seat Quota,AIIMS New Delhi,Delhi (NCT),MBBS,ST PwD,ST PwD,2
3028,Open Seat Quota,AIIMS Patna,Bihar,MBBS,EWS,EWS,2
1939,Open Seat Quota,AIIMS Patna,Bihar,MBBS,Open,General,3
59900,Open Seat Quota,AIIMS Patna,Bihar,MBBS,Open PwD,General PwD,1
2705,Open Seat Quota,AIIMS Patna,Bihar,MBBS,OBC,OBC,3
324957,Open Seat Quota,AIIMS Patna,Bihar,MBBS,OBC PwD,OBC PwD,1
17167,Open Seat Quota,AIIMS Patna,Bihar,MBBS,SC,SC,2
436764,Open Seat Quota,AIIMS Patna,Bihar,MBBS,SC PwD,SC PwD,1
45416,Open Seat Quota,AIIMS Patna,Bihar,MBBS,ST,ST,3
856041,Open Seat Quota,AIIMS Patna,Bihar,MBBS,ST PwD,ST PwD,1
4501,Open Seat Quota,AIIMS Rai Bareli,Uttar Pradesh,MBBS,EWS,EWS,3
3724,Open Seat Quota,AIIMS Rai Bareli,Uttar Pradesh,MBBS,Open,General,3
327221,Open Seat Quota,AIIMS Rai Bareli,Uttar Pradesh,MBBS,Open PwD,General PwD,1
4282,Open Seat Quota,AIIMS Rai Bareli,Uttar Pradesh,MBBS,OBC,OBC,3
354913,Open Seat Quota,AIIMS Rai Bareli,Uttar Pradesh,MBBS,OBC PwD,OBC PwD,1
34668,Open Seat Quota,AIIMS Rai Bareli,Uttar Pradesh,MBBS,SC,SC,3
376229,Open Seat Quota,AIIMS Rai Bareli,Uttar Pradesh,MBBS,SC PwD,SC PwD,1
51396,Open Seat Quota,AIIMS Rai Bareli,Uttar Pradesh,MBBS,ST,ST,3
1057165,Open Seat Quota,AIIMS Rai Bareli,Uttar Pradesh,MBBS,ST PwD,ST PwD,1
2631,Open Seat Quota,AIIMS Raipur,Chhattisgarh,MBBS,EWS,EWS,2
371868,Open Seat Quota,AIIMS Raipur,Chhattisgarh,MBBS,EWS PwD,EWS PwD,1
1376,Open Seat Quota,AIIMS Raipur,Chhattisgarh,MBBS,Open,General,2
190347,Open Seat Quota,AIIMS Raipur,Chhattisgarh,MBBS,Open PwD,General PwD,1
2016,Open Seat Quota,AIIMS Raipur,Chhattisgarh,MBBS,OBC,OBC,2
306492,Open Seat Quota,AIIMS Raipur,Chhattisgarh,MBBS,OBC PwD,OBC PwD,1
12231,Open Seat Quota,AIIMS Raipur,Chhattisgarh,MBBS,SC,SC,1
686509,Open Seat Quota,AIIMS Raipur,Chhattisgarh,MBBS,SC PwD,SC PwD,3
22885,Open Seat Quota,AIIMS Raipur,Chhattisgarh,MBBS,ST,ST,1
3215,Open Seat Quota,AIIMS Rajkot,Gujarat,MBBS,EWS,EWS,1
680755,Open Seat Quota,AIIMS Rajkot,Gujarat,MBBS,EWS PwD,EWS PwD,2
3254,Open Seat Quota,AIIMS Rajkot,Gujarat,MBBS,Open,General,3
210024,Open Seat Quota,AIIMS Rajkot,Gujarat,MBBS,Open PwD,General PwD,1
3406,Open Seat Quota,AIIMS Rajkot,Gujarat,MBBS,OBC,OBC,3
321581,Open Seat Quota,AIIMS Rajkot,Gujarat,MBBS,OBC PwD,OBC PwD,1
35068,Open Seat Quota,AIIMS Rajkot,Gujarat,MBBS,SC,SC,3
53569,Open Seat Quota,AIIMS Rajkot,Gujarat,MBBS,ST,ST,3
1715,Open Seat Quota,AIIMS Rishikesh,Uttarakhand,MBBS,EWS,EWS,3
147945,Open Seat Quota,AIIMS Rishikesh,Uttarakhand,MBBS,Open PwD,EWS PwD,1
816,Open Seat Quota,AIIMS Rishikesh,Uttarakhand,MBBS,Open,General,3
93176,Open Seat Quota,AIIMS Rishikesh,Uttarakhand,MBBS,Open PwD,General PwD,1
67953,Open Seat Quota,AIIMS Rishikesh,Uttarakhand,MBBS,Open PwD,GNYes,2
1104,Open Seat Quota,AIIMS Rishikesh,Uttarakhand,MBBS,OBC,OBC,2
161370,Open Seat Quota,AIIMS Rishikesh,Uttarakhand,MBBS,OBC PwD,OBC PwD,1
8240,Open Seat Quota,AIIMS Rishikesh,Uttarakhand,MBBS,SC,SC,1
33497,Open Seat Quota,AIIMS Rishikesh,Uttarakhand,MBBS,ST,ST,3
215389,Deemed/Paid Seats Quota,"Amrita Institute of Medical Science, Kochi",Kerala,MBBS,Open,EWS,1
286839,Deemed/Paid Seats Quota,"Amrita Institute of Medical Science, Kochi",Kerala,MBBS,Open,General,2
290052,Deemed/Paid Seats Quota,"Amrita Institute of Medical Science, Kochi",Kerala,MBBS,Open,OBC,2
261206,Deemed/Paid Seats Quota,"Amrita Institute of Medical Science, Kochi",Kerala,MBBS,Open,SC,2
1087311,Non-Resident Indian,"Amrita Institute of Medical Science, Kochi",Kerala,MBBS,Open,General,3
1099672,Non-Resident Indian,"Amrita Institute of Medical Science, Kochi",Kerala,MBBS,Open,OBC,2
846223,Non-Resident Indian,"Amrita Institute of Medical Science, Kochi",Kerala,MBBS,Open,SC,1
406336,Deemed/Paid Seats Quota,"Amrita School of Dentistry, Kochi",Kerala,BDS,Open,General,2
396236,Deemed/Paid Seats Quota,"Amrita School of Dentistry, Kochi",Kerala,BDS,Open,OBC,2
1082566,Non-Resident Indian,"Amrita School of Dentistry, Kochi",Kerala,BDS,Open,General,1
788527,Non-Resident Indian,"Amrita School of Dentistry, Kochi",Kerala,BDS,Open,OBC,1
247051,Deemed/Paid Seats Quota,"Amrita School of Medicine, Faridabad",Haryana,MBBS,Open,EWS,1
363996,Deemed/Paid Seats Quota,"Amrita School of Medicine, Faridabad",Haryana,MBBS,Open,General,3
349700,Deemed/Paid Seats Quota,"Amrita School of Medicine, Faridabad",Haryana,MBBS,Open,OBC,3
308586,Deemed/Paid Seats Quota,"Amrita School of Medicine, Faridabad",Haryana,MBBS,Open,SC,2
376143,Deemed/Paid Seats Quota,"Amrita School of Medicine, Faridabad",Haryana,MBBS,Open,ST,3
984251,Non-Resident Indian,"Amrita School of Medicine, Faridabad",Haryana,MBBS,Open,General,3
1312719,Non-Resident Indian,"Amrita School of Medicine, Faridabad",Haryana,MBBS,Open,OBC,3
29264,All India,Andaman and Nicobar Islands Institute of Medical Sciences,Andaman And Nicobar Islands,MBBS,EWS,EWS,3
24933,All India,Andaman and Nicobar Islands Institute of Medical Sciences,Andaman And Nicobar Islands,MBBS,Open,General,3
26172,All India,Andaman and Nicobar Islands Institute of Medical Sciences,Andaman And Nicobar Islands,MBBS,OBC,OBC,3
136392,All India,Andaman and Nicobar Islands Institute of Medical Sciences,Andaman And Nicobar Islands,MBBS,SC,SC,3
162177,All India,Andaman and Nicobar Islands Institute of Medical Sciences,Andaman And Nicobar Islands,MBBS,ST,ST,3
8958,All India,"Andhra Medical College, Visakhapatnam",Andhra Pradesh,MBBS,EWS,EWS,3
7267,All India,"Andhra Medical College, Visakhapatnam",Andhra Pradesh,MBBS,Open,General,3
10160,All India,"Andhra Medical College, Visakhapatnam",Andhra Pradesh,MBBS,OBC,OBC,2
58709,All India,"Andhra Medical College, Visakhapatnam",Andhra Pradesh,MBBS,SC,SC,3
57960,All India,"Andhra Medical College, Visakhapatnam",Andhra Pradesh,MBBS,ST,ST,1
17163,All India,"Anugrah Narayan Magadh Medical College, Gaya",Bihar,MBBS,EWS,EWS,2
15963,All India,"Anugrah Narayan Magadh Medical College, Gaya",Bihar,MBBS,Open,General,3
16796,All India,"Anugrah Narayan Magadh Medical College, Gaya",Bihar,MBBS,OBC,OBC,3
648874,All India,"Anugrah Narayan Magadh Medical College, Gaya",Bihar,MBBS,OBC PwD,OBC PwD,1
107009,All India,"Anugrah Narayan Magadh Medical College, Gaya",Bihar,MBBS,SC,SC,2
119132,All India,"Anugrah Narayan Magadh Medical College, Gaya",Bihar,MBBS,ST,ST,3
23462,All India,"Assam Medical College, Dibrugarh",Assam,MBBS,EWS,EWS,2
21289,All India,"Assam Medical College, Dibrugarh",Assam,MBBS,Open,General,3
677936,All India,"Assam Medical College, Dibrugarh",Assam,MBBS,Open PwD,GNYes,2
21982,All India,"Assam Medical College, Dibrugarh",Assam,MBBS,OBC,OBC,2
121892,All India,"Assam Medical College, Dibrugarh",Assam,MBBS,SC,SC,3
103958,All India,"Assam Medical College, Dibrugarh",Assam,MBBS,ST,ST,2
432536,All India,"Assam Medical College, Dibrugarh",Assam,MBBS,Open PwD,ST PwD,1
17282,All India,"Atal Bihari Vajpayee Government Medical College, Vidisha",Madhya Pradesh,MBBS,EWS,EWS,3
1128815,All India,"Atal Bihari Vajpayee Government Medical College, Vidisha",Madhya Pradesh,MBBS,EWS PwD,EWS PwD,2
15434,All India,"Atal Bihari Vajpayee Government Medical College, Vidisha",Madhya Pradesh,MBBS,Open,General,3
16572,All India,"Atal Bihari Vajpayee Government Medical College, Vidisha",Madhya Pradesh,MBBS,OBC,OBC,3
749341,All India,"Atal Bihari Vajpayee Government Medical College, Vidisha",Madhya Pradesh,MBBS,OBC PwD,OBC PwD,3
101553,All India,"Atal Bihari Vajpayee Government Medical College, Vidisha",Madhya Pradesh,MBBS,SC,SC,3
458127,All India,"Atal Bihari Vajpayee Government Medical College, Vidisha",Madhya Pradesh,MBBS,SC PwD,SC PwD,1
104601,All India,"Atal Bihari Vajpayee Government Medical College, Vidisha",Madhya Pradesh,MBBS,ST,ST,3
1313541,All India,"Atal Bihari Vajpayee Government Medical College, Vidisha",Madhya Pradesh,MBBS,ST PwD,ST PwD,2
1009,All India,"Atal Bihari Vajpayee Institute of Medical Sciences & DR RML Hospital, New Delhi",Delhi (NCT),MBBS,EWS,EWS,1
215,All India,"Atal Bihari Vajpayee Institute of Medical Sciences & DR RML Hospital, New Delhi",Delhi (NCT),MBBS,Open,General,1
1125,All India,"Atal Bihari Vajpayee Institute of Medical Sciences & DR RML Hospital, New Delhi",Delhi (NCT),MBBS,OBC,OBC,3
14191,All India,"Atal Bihari Vajpayee Institute of Medical Sciences & DR RML Hospital, New Delhi",Delhi (NCT),MBBS,SC,SC,2
14062,All India,"Atal Bihari Vajpayee Institute of Medical Sciences & DR RML Hospital, New Delhi",Delhi (NCT),MBBS,ST,ST,1
712303,Delhi NCR Children/Widows of Personnel of the Armed Forces (CW) IP Quota,"Atal Bihari Vajpayee Institute of Medical Sciences & DR RML Hospital, New Delhi",Delhi (NCT),MBBS,Open,General,1
